"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Mobility","geoid","Incarceration"
"1886",0.964,0.766,0.018,0.714,0.003,0.2,0.475,0.465,0.391,0.797,0.795,0.923,0.884,"51003010201",0.950524282244847
"1887",0.914,0.66,0.007,0.515,0,0.139,0.07,0.514,0.309,0.863,0.589,0.892,0.872,"51005080301",0.83029237675991
"1888",0.98,0.729,0.083,0.722,0.068,0.487,0.892,0.562,0.383,0.73,0.976,0.913,0.875,"51810046225",1.02169468025592
"1889",0.974,0.823,0.109,0.668,0.031,0.502,0.614,0.52,0.439,0.653,0.974,0.947,0.943,"51059415900",0.992690228506864
"1890",0.966,0.751,0.071,0.722,0.049,0.444,0.5,0.555,0.349,0.746,0.877,0.895,0.84,"51810045432",0.958614642303166
"1891",0.976,0.795,0.188,0.79,0.094,0.601,0.816,0.596,0.529,0.61,0.938,0.891,0.876,"51059421101",1.02745264333323
"1892",0.929,0.738,0.015,0.645,0.002,0.154,0.241,0.499,0.366,0.777,0.568,0.868,0.867,"51121021201",0.872775007274589
"1893",0.972,0.73,0.057,0.685,0.009,0.308,0.683,0.599,0.366,0.605,0.894,0.914,0.903,"51041100509",0.946272074757292
"1894",0.91,0.679,0.07,0.696,0.068,0.213,0.785,0.547,0.543,0.692,0.983,0.867,0.878,"51153901227",0.986296169934006
"1895",0.957,0.685,0.014,0.687,0.001,0.177,0.468,0.484,0.397,0.777,0.675,0.921,0.907,"51101950102",0.901075955325906
"1896",0.909,0.655,0.007,0.469,0,0.108,0.513,0.338,0.343,0.772,0.166,0.872,0.949,"51083930204",0.820871777751367
"1897",0.992,0.883,0.296,0.619,0.069,0.541,0.487,0.35,0.388,0.579,0.974,0.896,0.864,"51059470900",0.96940660279214
"1898",0.945,0.745,0.03,0.657,0.008,0.174,0.392,0.518,0.501,0.76,0.842,0.893,0.883,"51061930402",0.926172102409272
"1899",0.984,0.852,0.112,0.818,0.034,0.374,0.722,0.571,0.352,0.672,0.987,0.92,0.868,"51107611902",1.04102367152373
"1900",0.994,0.886,0.331,0.608,0.046,0.589,0.456,0.452,0.363,0.541,0.995,0.969,0.895,"51510200202",0.982538259883071
"1901",0.882,0.705,0.043,0.698,0.082,0.632,0.665,0.41,0.498,0.72,0.907,0.749,0.861,"51650011001",0.939702815500563
"1902",0.992,0.875,0.358,0.804,0.116,0.634,0.411,0.563,0.447,0.482,1,0.913,0.835,"51013101100",0.990850418560099
"1903",0.939,0.68,0.012,0.581,0.001,0.106,0.335,0.508,0.43,0.804,0.711,0.926,0.906,"51145500400",0.886437472618664
"1904",0.972,0.749,0.027,0.642,0.002,0.198,0.329,0.484,0.343,0.764,0.794,0.925,0.899,"51085320300",0.904773282675065
"1905",0.941,0.69,0.01,0.593,0.002,0.146,0.032,0.405,0.211,0.808,0.695,0.908,0.895,"51191011000",0.823539849677429
"1906",0.976,0.791,0.065,0.719,0.03,0.236,0.766,0.576,0.163,0.749,0.94,0.933,0.874,"51810046016",1.02628454314636
"1907",0.907,0.688,0.041,0.505,0.029,0.583,0.437,0.254,0.478,0.672,0.814,0.716,0.723,"51520020202",0.833333612279101
"1908",0.968,0.784,0.089,0.662,0.057,0.256,0.411,0.484,0.357,0.724,0.879,0.91,0.811,"51810042201",0.951922004186935
"1909",0.953,0.725,0.015,0.604,0.001,0.267,0.525,0.515,0.377,0.775,0.748,0.879,0.801,"51127700301",0.92653160766926
"1910",0.939,0.72,0.039,0.711,0.003,0.376,0.494,0.489,0.543,0.736,0.918,0.931,0.867,"51061930405",0.948597113369808
"1911",0.994,0.832,0.059,0.777,0.006,0.257,0.715,0.528,0.312,0.729,0.937,0.951,0.856,"51107611029",1.02909411019277
"1912",0.952,0.725,0.025,0.718,0.015,0.351,0.418,0.547,0.419,0.746,0.955,0.907,0.922,"51069050805",0.932764125751726
"1913",0.985,0.744,0.025,0.686,0.016,0.27,0.538,0.495,0.284,0.775,0.849,0.925,0.78,"51800075207",0.955373384045139
"1914",0.978,0.835,0.521,0.767,0.075,0.773,0.608,0.536,0.512,0.502,1,0.894,0.89,"51013102301",1.00623992104741
"1915",0.972,0.708,0.06,0.696,0.018,0.257,0.342,0.477,0.45,0.631,0.816,0.929,0.85,"51085321201",0.880906416963721
